*Wave =Num  Time(1) Hp(2)   Speed(3)    Armor(4)    Cost(5) Img(6)
wave1a= 4,  1.0,     10,    1.0,        0,          1,       1
wave2a= 6,  1.2,     16,    1.0,        0,          1,       1
wave3a= 8,  1.4,     16,    1.2,        0,          1,       1
wave4a= 6,  1.5,     20,    1.0,        0,          1,       1
wave5a= 8,  1.8,     24,    1.0,        0,          1,       1
wave6a= 8,  1.0,     28,    1.2,        0,          1,       1
wave7a= 8,  1.0,     32,    1.3,        0,          1,       1
wave8a= 8,  1.0,     36,    1.3,        0,          1,       1
wave9a=10,  0.9,     20,    1.2,        0,          1,       1
wave10a=8,  1.5,     45,    0.8,        0,          1,       1
wave11a=8,  1.0,     50,    1.2,        0,          1,       1
