*Wave =Num  Time(1) Hp(2)   Speed(3)    Armor(4)    Cost(5) Img(6)
wave1a= 7,  1.0,     10,    1.0,        1,          1,      1
wave2a=13,  1.0,     13,    1.1,        1,          1,      1
wave3a=14,  1.0,     16,    1.2,        1,          1,      1
wave4a= 8,  1.0,     19,    1.3,        1,          1,      1
wave5a= 8,  1.0,     22,    1.4,        1,          1,      1
wave6a= 8,  1.0,     25,    1.0,        1,          1,      1
wave7a= 8,  1.0,     28,    1.1,        1,          1,      1
wave8a= 8,  1.0,     31,    1.2,        1,          1,      1
wave9a= 8,  1.0,     34,    1.3,        1,          1,      1
wave10a=8,  1.0,     37,    1.4,        1,          1,      1
wave11a=8,  1.0,     40,    1.0,        1,          1,      1
wave12a=8,  1.0,     43,    1.1,        1,          1,      1
wave13a=8,  1.0,     46,    1.2,        1,          1,      1
wave14a=8,  1.0,     49,    1.3,        1,          1,      1
wave15a=3,  2.0,    100,    0.6,        1,          1,      1
wave16a=8,  1.0,     40,    1.0,        1,          1,      1
wave17a=8,  1.0,     43,    1.1,        1,          1,      1
wave18a=8,  1.0,     46,    1.2,        1,          1,      1
wave19a=8,  1.0,     49,    1.3,        1,          1,      1
wave20a=8,  1.0,     52,    1.4,        1,          1,      1
